specName,End,Start
palmerae_Astrorotalia,47.55,49.55
aspensis_Acarinina,48.7,50.4
coalingensis_Acarinina,50.1,56.5
esnehensis_Acarinina,50.4,55.8
interposita_Acarinina,50.4,54
quetra_Acarinina,50.4,54
formosa_Morozovella,50.4,54
lodoensis_Igorina,50.5,55.8
planoconica_Globanomalina,50.6,56.3
lensiformis_Morozovella,50.6,54
aequa_Morozovella,50.8,56.5
gracilis_Morozovella,50.8,55.7
subbotinae_Morozovella,50.8,55.9
wilcoxensis_Acarinina,50.9,55.7
prebetica_Parasubbotina,50.9,51.7
esnaensis_Acarinina,51.2,56.3
marginodentata_Morozovella,51.6,55.55
hornibrooki_Subbotina,52.5,55.6
chapmani_Globanomalina,53.7,59.45
edgari_Morozovella,54,54.9
subsphaerica_Acarinina,54.2,59.4
luxorensis_Globanomalina,54.45,55.7
acuta_Morozovella,54.45,59.15
apanthesma_Morozovella,54.45,60
occlusa_Morozovella,54.45,59.35
pasionensis_Morozovella,54.45,59.5
velascoensis_Morozovella,54.45,59.9
velascoensis_Subbotina,54.45,59.2
africana_Acarinina,55.3,55.4
sibaiyaensis_Acarinina,55.3,55.45
ovalis_Globanomalina,55.3,56.5
allisonensis_Morozovella,55.3,55.5
tadjikistanensis_Igorina,55.4,60
triangularis_Subbotina,55.55,61.1
imitata_Globanomalina,55.8,62.05
pseudomenardii_Globanomalina,55.9,59.4
albeari_Igorina,55.9,60.05
nitida_Acarinina,56.2,59.5
mckannai_Acarinina,56.3,59.25
acutispira_Morozovella,56.35,59.4
cancellata_Subbotina,56.8,61.2
strabocella_Acarinina,59.3,60.8
angulata_Morozovella,59.3,60.95
conicotruncata_Morozovella,59.3,60.8
variospira_Parasubbotina,59.3,61
triloculinoides_Subbotina,59.3,64.3
ehrenbergi_Globanomalina,59.38,61.1
pusilla_Igorina,59.5,60.95
pseudobulloides_Parasubbotina,59.7,64.9
praeangulata_Morozovella,60,61.15
compressa_Globanomalina,60.7,62.9
uncinata_Praemurica,60.7,61.2
spiralis_Eoglobigerina,60.9,61.2
inconstans_Praemurica,60.9,62.8
trivialis_Subbotina,61,64.92
edita_Eoglobigerina,61.15,64.9
pseudoinconstans_Praemurica,61.15,64.8
planocompressa_Globanomalina,62,64.9
archeocompressa_Globanomalina,62.8,64.95
eobulloides_Eoglobigerina,63.6,64.97
taurica_Praemurica,63.8,64.9
pseudobulloides_Parasubbotina_aff,64.8,65
monmouthensis_Hedbergella,64.85,69.2
holmdelensis_Hedbergella,64.9,70.6
preapumilio_Berggrenia,0,None
pumilio_Berggrenia,0,None
nitida_Candeina,0,None
chipolensis_Cassigerinella,0,None
chipolensis_Cassigerinella,0,None
eocaenica_Cassigerinella,0,None
eocaenica_Cassigerinella,0,None
amekiensis_Cassigerinelloita,0,None
criniata_Chiloguembelina,0,None
cubensis_Chiloguembelina,0,None
midwayensis_Chiloguembelina,0,None
morsei_Chiloguembelina,0,None
ototara_Chiloguembelina,0,None
paralella_Chiloguembelina,0,None
subtriangularis_Chiloguembelina,0,None
trinitatensis_Chiloguembelina,0,None
wilcoxensis_Chiloguembelina,0,None
anfracta _Dentigloborotalia,0,None
danvillensis_Dipsidripella,0,None
liqianyui_Dipsidripella,0,None
insueta_Globigerinatella,0,None
sp._Globigerinatella,0,None
glutinata_Globigerinita,0,None
uvula_Globigerinita,0,None
bulloideus _Globigerinoides,0,None
elongatus_Globigerinoides,0,None
italicus_Globigerinoides,0,None
quadrilobatus _Globigerinoides,0,None
bollii _Globigerinoidesella,0,None
hystricosa _Globigerinoidesella,0,None
daubjergensis_Globoconusa,0,None
cancellata_Globoturborotalita,0,None
cretacea_Guembelitria,0,None
pelagica_Hastigerina,0,None
digitata_Hastigerinella,0,None
columbiana_Jenkinsina,0,None
samwelli_Jenkinsina,0,None
triseriata_Jenkinsina,0,None
mirabilis_Mutabella,0,None
incompta_Neogloboquadrina,0,None
riedeli_Orcadia,0,None
alabamensis_Parvularugoglobigerina,0,None
eugubina_Parvularugoglobigerina,0,None
extensa_Parvularugoglobigerina,0,None
cretacea_Rectoguembelina,0,None
martinezpicoi_Riveroinella,0,None
angustiumbilicata_Tenuitella,0,None
angustiumbilicata_Tenuitella,0,None
clemenciae_Tenuitella_cf.,0,None
fleisheri_Tenuitella,0,None
gemma_Tenuitella,0,None
insolita_Tenuitella,0,None
iota_Tenuitella,0,None
minutissima_Tenuitella,0,None
munda_Tenuitella,0,None
munda_Tenuitella,0,None
neobrevispina_Tenuitella,0,None
parkerae_Tenuitella,0,None
patefacta_Tenuitella,0,None
praegemma_Tenuitella,0,None
immaturus_Trilobatus,0,None
praeimmaturus _Trilobatus,0,None
subsacculifer _Trilobatus,0,None
claytonensis_Woodringina,0,None
hornerstownensis_Woodringina,0,None
aegyptica_Zeauvigerina,0,None
lodoensis_Zeauvigerina,0,None
parri_Zeauvigerina,0,None
teuria_Zeauvigerina,0,None
virgata_Zeauvigerina,0,None
waiparaensis_Zeauvigerina,0,None
zelandica_Zeauvigerina,0,None
NotListed,0,66
Unknown,0,66
uncert_TumidaMenardii_?,0,5.8
uncert_RubescensRuber_?,0,3.6
uncert_FalconensisBulloides_?,0,14.8
uncert_TheyeriScitula_?,0,3.5
uncert_Globigerinoides_?,0,23
